Tabela de composicao em 100g de alimento;Energia (kcal);Proteina (g);Lipideos (g);Carboidratos (g);Calcio (mg);Ferro (mg);Retinol (mcg);Vitamina C (mg);Sodio  (mg);Restricao;Cod.
Feijao, rosinha, cru;336.96;20.92;1.33;62.22;67.66;5.32;0;0;24;Liberado;0
Feijao, roxo, cru;331.41;22.17;1.24;59.99;120.46;6.92;0;0;10;Liberado;0
Feijao-verde;121.33;3.17;3.13;20.32;128;1.12;39.58;2.2;4;Liberado;0
Fermento em po, quimico;89.72;0.48;0.07;43.91;0;0;0;0;10052;Liberado;0
Fermento, biologico, levedura, tablete;89.79;16.96;1.52;7.7;18.01;2.62;0;0;40;Liberado;0
Fibra de trigo;216;15.55;4.25;64.51;73;10.57;0.5;0;2;Liberado;0
Figo, cru;41.45;0.97;0.16;10.25;27.39;0.2;14;0.79;0;Liberado;0
Figo, enlatado, em calda;184.36;0.56;0.15;50.34;32.62;0.5;0;5.24;6.87;proibido para menores 3 anos;2
File de frango;173;30.91;4.51;0;15;1.06;9;0;77;Liberado;0
Frango, asa, com pele, crua;213.19;18.1;15.07;0;10.92;0.57;10.37;0;96;Liberado;0
Frango, coracao, cru;221.5;12.58;18.6;0;5.51;4.09;9;0;95;Liberado;0
Frango, coxa, com pele, crua;161.47;17.09;9.81;0;8;0.7;10;0;95;Liberado;0
Frango, coxa, sem pele, crua;119.95;17.81;4.86;0.02;7.97;0.78;11.66;0;98;Liberado;0
Frango, figado, cru;106.48;17.59;3.49;-0.02;5.61;9.54;3863;0;82;Liberado;0
Frango, inteiro, com pele, cru;226.32;16.44;17.31;0;6.3;0.62;7;0;63;Liberado;0
Frango, inteiro, sem pele, cru;129.1;20.59;4.57;0;6.52;0.54;4;0;73;Liberado;0
Frango, peito, com pele, cru;149.47;20.78;6.73;0;8.42;0.44;4;0;62;Liberado;0
Frango, peito, sem pele, cru;119.16;21.53;3.02;0;7.36;0.43;2;0;56;Liberado;0
Frango, sobrecoxa, com pele, crua;254.53;15.46;20.9;0;7.09;0.71;7;0;68;Liberado;0
Frango, sobrecoxa, sem pele, crua;161.8;17.57;9.62;0;6.29;0.9;4;0;80;Liberado;0
Fruta-pao, crua;67.05;1.08;0.19;17.17;33.68;0.23;2;9.87;0.8;Liberado;0
Gelatina, po p/, diet (media diferentes sabores);341;57.2;0.24;28.8;1.98;0.02;0;0;157;Proibido;3
Gelatina, sabores variados, po;380.22;8.89;0;89.22;26.84;0.33;0;40;235;Proibido;3
Geleia de frutas, diversos sabores;278;0.37;0.07;68.86;20;0.49;0;8.8;32;proibido para menores 3 anos;2
Geleia, mocoto, natural;106.09;2.13;0.07;24.23;3.52;0.12;0;0;43;proibido para menores 3 anos;2
Geleias, (media diferentes amostras) ;266;0.35;0.31;66.6;6.72;0.19;0;0.87;28.8;proibido para menores 3 anos;2
Gergelim, semente;583.55;21.16;50.43;21.62;825.45;5.45;0.09;0;3;Liberado;0
Glicose de milho;292.12;0;0;79.38;5.67;0.05;0;0;59;Proibido;3
Goiaba, branca, com casca, crua;51.74;0.9;0.49;12.4;5.01;0.17;0;99.2;0;Liberado;0
Goiaba, doce em pasta;268.96;0.58;0;74.12;10.06;0.4;136;23.06;3.7;proibido para menores 3 anos;2
Goiaba, doce, cascao;285.59;0.41;0.1;78.7;14.7;0.4;50;34.33;11.03;proibido para menores 3 anos;2
Goiaba, vermelha, com casca, crua;54.17;1.09;0.44;13.01;4.45;0.17;79;80.6;0;Liberado;0
Goiaba, vermelha, suco natural (nectar), c/ acucar refinado;65;0.63;0.37;16.7;5.08;0.14;77.2;59.6;0.96;proibido para menores 3 anos;2
Goiaba, vermelha, suco natural (nectar), s/ acucar;37;0.67;0.4;9.64;5.21;0.14;83.8;64.7;0;Liberado;0
Gordura, vegetal, hidrogenada;900;0;100;0;0;0;0;0.24;0;Proibido;3
Grao-de-bico, cru;354.7;21.23;5.43;57.88;114.36;5.38;6.7;0;5;Liberado;0
Graviola, crua;61.62;0.85;0.21;15.84;40.12;0.17;0.2;19.14;4.16;Liberado;0
Graviola, polpa, congelada;38.27;0.57;0.14;9.78;5.98;0.1;0;10.48;3.05;Liberado;0
Graviola, polpa, congelada ;41;0.57;0.14;9.79;5.98;0.11;0;10.5;3.05;Liberado;0
Guandu, cru;344.13;18.96;2.13;64;129.34;1.94;0;1.47;2;Liberado;0
Hamburguer, bovino, cru;214.84;13.16;16.18;4.15;34.06;1.89;0;0;869;proibido para menores 3 anos;2
Hortela ;1;0;0;0.2;2;0.08;0;0;1;Liberado;0
Inhame, cru;96.7;2.05;0.21;23.23;11.8;0.36;0;5.62;0;Liberado;0
Iogurte de qualquer sabor ;98.69;3.46;3.47;14.62;120.93;0.09;29.65;4.15;44.78;proibido para menores 3 anos;2
Iogurte de qualquer sabor light;102;4.37;1.08;19.05;152;0.07;10;0.7;58;proibido para menores 3 anos;2
Iogurte desnatado;56;5.73;0.18;7.68;199;0.09;2;0.9;77;Liberado;0
Iogurte natural;61;3.47;3.25;4.66;121;0.05;27;0.5;46;Liberado;0
Iogurte, integral (media de diferentes sabores);68;3;1.63;10.3;93.6;0.38;0;0;45.4;Liberado;0
Iogurte, integral, coco;68;3;1.63;10.3;92.2;0.28;0;0;43;proibido para menores 3 anos;2
Iogurte, natural;51.49;4.06;3.04;1.92;143.1;0;22.5;0.93;52;Liberado;0
Iogurte, natural, desnatado;41.49;3.83;0.32;5.77;156.96;0;16;0.35;60;Liberado;0
Iogurte, sabor abacaxi;0;0;0;0;0;0;0;0;0;proibido para menores 3 anos;2
Iogurte, sabor morango;69.57;2.71;2.33;9.69;101.03;0;27.03;0;38;proibido para menores 3 anos;2
Iogurte, sabor pessego;67.85;2.53;2.34;9.43;95.05;0.05;21.28;0;37;proibido para menores 3 anos;2
Iogurte, soja (media de diferentes amostras);50;2.82;0.59;8.24;707;4.61;0;0;205;proibido para menores 3 anos;2
Jabuticaba, crua;58.05;0.61;0.13;15.26;8.35;0.09;0;16.17;0;Liberado;0
Jaca, crua;87.92;1.4;0.27;22.5;11.25;0.38;29.7;14.82;1.8;Liberado;0
Jambo, cru;26.91;0.89;0.07;6.49;13.8;0.14;25;3.77;21.66;Liberado;0
Jamelao, cru;41.01;0.55;0.11;10.63;3.09;0.05;8;27.07;1.37;Liberado;0
Jenipapo;113;5.2;0.3;25.7;40;3.6;30;33;0;Liberado;0
Jilo, cru;27.37;1.4;0.22;6.19;19.97;0.34;13;6.79;0;Liberado;0
Jurubeba, crua;125.81;4.41;3.91;23.06;151.02;0.95;0;13.83;0.77;Liberado;0
Kiwi, cru;51.14;1.34;0.63;11.5;23.91;0.25;5;70.78;0;Liberado;0
Lambari, congelado, cru;130.84;16.81;6.55;0;1181.28;0.91;4.31;0;47.92;Liberado;0
Lambari, fresco, cru;151.6;15.65;9.4;0;590.27;0.63;0;0;41.11;Liberado;0
Laranja e acerola, suco natural (nectar), c/ acucar refinado;55;0.58;0.09;13;8.51;0.01;19.2;182;0.95;proibido para menores 3 anos;2
Laranja e acerola, suco natural (nectar), s/ acucar ;28;0.62;0.1;6.22;8.9;0;20.8;197;0.07;Liberado;0
Laranja e mamao, suco natural (nectar), c/ acucar refinado;58;0.54;0.08;13.7;6.78;0.03;15.3;54.7;1.2;proibido para menores 3 anos;2
Laranja e mamao, suco natural (nectar), s/ acucar ;29;0.58;0.08;6.38;7.06;0.03;16.6;59.4;0.27;Liberado;0
Laranja, baia, crua;45.44;0.98;0.1;11.47;35.41;0.14;4;56.87;0;Liberado;0
Laranja, baia, suco;36.65;0.65;0;8.7;5.93;0.06;4;94.48;0;Liberado;0
Laranja, da terra, crua;51.47;1.08;0.19;12.86;51.08;0.15;0;34.68;0.83;Liberado;0
Laranja, da terra, suco;40.96;0.67;0.14;9.57;13.39;0.09;5;44.32;0;Liberado;0
Laranja, lima, crua;45.7;1.06;0.08;11.53;31.47;0.12;0;43.46;1.11;Liberado;0
Laranja, lima, suco;39.34;0.71;0.12;9.17;7.74;0;0;41.3;0;Liberado;0
Laranja, mamao, pera e maca, suco natural (nectar), c/ acucar refinado;68;0.58;0.14;16.3;7.96;0.06;15.2;51.7;1.32;proibido para menores 3 anos;2
Laranja, mamao, pera e maca, suco natural (nectar), s/ acucar;39;0.61;0.16;9.16;8.34;0.06;16.5;56.1;0.39;Liberado;0
Laranja, pera, crua;36.77;1.04;0.13;8.95;21.89;0.09;2;53.73;0;Liberado;0
Laranja, pera, suco;32.71;0.74;0.07;7.55;7.37;0;0;73.34;0;Liberado;0
Laranja, Seleta, in natura, Citrus aurantium L.;52;0.83;0.36;12.8;34.8;0.14;2.96;55;1;Liberado;0
Laranja, valencia, crua;46.11;0.77;0.16;11.72;33.74;0.09;0;47.85;0.63;Liberado;0
Laranja, valencia, suco;36.2;0.48;0.12;8.55;9.08;0;0;0;0;Liberado;0
Lasanha, massa fresca, cozida;163.76;5.81;1.16;32.52;9.97;1.19;0;0;206.77;Liberado;0
Lasanha, massa fresca, crua;220.31;7.01;1.34;45.06;16.55;1.87;0;0;666.71;Liberado;0
Leite achocolatado diet;73.29;3.48;3.51;7.09;147.69;0.17;26.86;2.36;71.79;proibido para menores 3 anos;2
Leite de soja em po;408.33;32.85;13.22;42.13;182.41;8.94;0.61;2.64;1263.13;Liberado;0
Leite, condensado;312.57;7.67;6.74;57;246.27;0.13;52.95;2.14;94;proibido para menores 3 anos;2
Leite, de cabra;66.42;3.07;3.75;5.25;112.25;0.1;34.74;0;74;Liberado;0
Leite, de coco;166.16;1.01;18.36;2.19;5.85;0.46;0;0;44;Liberado;0
Leite, de vaca, achocolatado;82.82;2.1;2.17;14.16;69.79;0.46;38.94;3.26;72;proibido para menores 3 anos;2
Leite, de vaca, desnatado, po;361.61;34.69;0.93;53.04;1363.17;0.93;299.46;0;432;Liberado;0
Leite, de vaca, desnatado, UHT;37;3.12;0.4;5.14;133.81;0.08;10.9;0;51;Liberado;0
Leite, de vaca, integral;65;2.93;3.24;5.92;108;0.08;49.7;0;63.8;Liberado;0
Leite, de vaca, integral, po;496.65;25.42;26.9;39.18;890.27;0.52;361.06;0;323;Liberado;0
Leite, fermentado;69.62;1.89;0.1;15.67;71.53;0;0;0.49;33;proibido para menores 3 anos;2
Lentilha, crua;339.14;23.15;0.77;62;53.52;7.05;0;0;0;Liberado;0
Limao, cravo, suco;14.1;0.33;0;5.25;10.18;0.08;0;32.78;0;Liberado;0
Limao, galego, suco;22.23;0.57;0.07;7.32;5.26;0.05;2;34.5;0;Liberado;0
Limao, tahiti, cru;31.82;0.94;0.14;11.08;50.98;0.18;0;38.24;1.25;Liberado;0
Linguica (suina, bovina, mista, etc.) (crua);396;13.8;36.25;2.7;10;1.13;0;0;805;proibido para menores 3 anos;2
Linguica, calabresa, fininha, crua;256;18;20;1;6.94;1;0;0;840;proibido para menores 3 anos;2
Linguica, frango, crua;218.11;14.24;17.44;0;10.84;0.47;0;0;1126;proibido para menores 3 anos;2
Linguica, porco, crua;227.2;16.06;17.58;0;6.13;0.44;0;0;1176;proibido para menores 3 anos;2
Linhaca, semente;495.1;14.08;32.25;43.31;211.5;4.7;0;0;9;Liberado;0
Maca, Argentina, com casca, crua;62.53;0.23;0.25;16.59;3.39;0.05;4;1.49;1.32;Liberado;0
Maca, Fuji, com casca, crua;55.52;0.29;0;15.15;1.92;0.09;4;2.41;0;Liberado;0
Macarrao, trigo, cru;371.12;10;1.3;77.94;17.3;0.88;0;0;7.17;Liberado;0
Macarrao, trigo, cru, com ovos;370.57;10.32;1.97;76.62;19.45;0.92;0;0;14.74;Liberado;0
Macauba, crua;404.28;2.08;40.66;13.95;66.53;0.81;0;13.44;0.65;Liberado;0
Maionese, tradicional com ovos;302.15;0.58;30.5;7.9;3.48;0.1;8;0;787;Proibido;3
Mamao verde, doce em calda, drenado;209.38;0.32;0.1;57.64;12.44;0.15;0;0;4.74;proibido para menores 3 anos;2
Mamao, doce em calda, drenado;195.63;0.19;0.07;54;20.01;0.11;0;3.9;2.91;proibido para menores 3 anos;2
Mamao, Formosa, cru;45.34;0.82;0.12;11.55;24.87;0.23;78;78.53;3.26;Liberado;0
Mamao, Papaia, cru;40.16;0.46;0.12;10.44;22.42;0.19;77;82.21;1.63;Liberado;0
Mamao, suco natural (nectar), c/ acucar refinado ;42;0.3;0.13;10.4;9.33;0.12;70.1;40.2;1.83;proibido para menores 3 anos;2
Mamao, suco natural (nectar), s/ acucar;24;0.3;0.14;5.65;9.64;0.12;73.8;42.3;1.29;Liberado;0
Mandioca, crua;151.42;1.13;0.3;36.17;15.19;0.27;3;16.53;2.15;Liberado;0
Mandioca, farofa, temperada;405.69;2.06;9.12;80.3;65.69;1.36;0;0;574.51;Liberado;0
Manga, Haden, crua;63.5;0.41;0.26;16.66;11.66;0.1;0;17.41;0.55;Liberado;0
Manga, Palmer, crua;72.49;0.41;0.17;19.35;11.64;0.09;0;65.52;1.86;Liberado;0
Manga, polpa, congelada;48.31;0.38;0.23;12.52;7.12;0.09;0;24.9;6.73;Liberado;0
Manga, suco natural (nectar), c/ acucar refinado ;40;0.17;0.1;9.74;2.92;0.05;89.7;9.09;0.89;proibido para menores 3 anos;2
Manga, suco natural (nectar), s/ acucar;21;0.17;0.1;5.04;2.88;0.04;94.4;9.57;0.3;Liberado;0
Manga, Tommy Atkins, crua;50.69;0.86;0.22;12.77;7.64;0.08;100;7.94;0;Liberado;0
Mangaba;43;0.7;0.3;10.5;41;2.8;30;33;0;Liberado;0
Manjericao, cru;21.15;1.99;0.39;3.64;210.92;0.97;1035;2.34;3.89;Liberado;0
Manteiga, com sal;725.97;0.41;82.36;0.06;9.42;0.15;754;0;578.69;Liberado;0
Manteiga, sem sal;757.54;0.4;86.04;0;3.61;0;754;0;3.85;Liberado;0
Maracuja, cru;68.44;1.99;2.1;12.26;5.39;0.56;70;19.84;1.58;Liberado;0
Maracuja, polpa, congelada;38.76;0.81;0.18;9.6;4.61;0.29;78;7.26;8.1;Liberado;0
Maracuja, polpa, congelada;43;0.82;0.18;9.6;4.61;0.3;78;7.26;8.1;Liberado;0
Maracuja, suco concentrado, envasado;41.97;0.77;0.19;9.64;4.16;0.35;0;13.68;21.69;Liberado;0
Margarina com oleo hidrogenado, com sal (65% de lipideos);596;0;674;0;6;0.1;0;0;894;Proibido;3
Margarina, com oleo hidrogenado, sem sal (80% de lipideos);723;0;81.7;0;3;0.1;0;0;78;Proibido;3
Margarina, com oleo interesterificado, com sal (65%de lipideos);594.45;0;67.25;0;4.54;0;385.39;0;560.8;proibido para menores 3 anos;2
Margarina, com oleo interesterificado, sem sal (65% de lipideos);593.14;0;67.1;0;4.96;0.08;245.1;0;33.19;proibido para menores 3 anos;2
Maria mole;301.24;3.81;0.19;73.55;13.36;0.39;0;0;15;proibido para menores 3 anos;2
Maria mole, coco queimado;306.63;3.93;0.09;75.06;19.46;0.47;0;0;14;proibido para menores 3 anos;2
Marmelada;257.24;0.4;0.14;70.76;11.32;0.73;1;0;11;proibido para menores 3 anos;2
Massa, fresca, crua;278;10.8;3.93;51.3;117;2.63;0;0;1084;Liberado;0
Maxixe, cru;13.75;1.39;0.07;2.73;20.87;0.35;0;9.63;10.99;Liberado;0
Mel, de abelha;309.24;0;0;84.03;10.2;0.25;0;0.74;6;proibido para menores 3 anos;2
Melado;296.51;0;0;76.62;102.06;5.39;0;0;4;proibido para menores 3 anos;2
Melancia e acerola, suco natural (nectar), c/ acucar refinado;47;0.5;0.1;11.2;10.8;0.11;84.7;263;0.93;proibido para menores 3 anos;2
Melancia e acerola, suco natural (nectar), s/ acucar;22;0.52;0.11;4.86;11.3;0.1;90.9;283;0.13;Liberado;0
Melancia, crua;32.61;0.88;0;8.14;7.72;0.23;36.6;6.15;0;Liberado;0
Melao, cru;29.37;0.68;0;7.53;2.86;0.23;116;8.68;11.17;Liberado;0
Melao, suco natural (nectar), c/ acucar refinado;33;0.33;0.08;7.93;1.49;0.11;0.87;3.63;5.27;proibido para menores 3 anos;2
Melao, suco natural (nectar), s/ acucar;14;0.34;0.09;3.14;1.39;0.11;0.92;3.82;4.91;Liberado;0
Merluza, file, cru;89.13;16.61;2.02;0;20.4;0.19;0;0;79.5;Liberado;0
Mexerica, Murcote, crua;57.59;0.88;0.13;14.86;33.07;0.07;0;21.8;1.17;Liberado;0
Mexerica, Rio, crua;36.87;0.65;0.13;9.34;17.18;0.09;0;111.97;1.82;Liberado;0
Milho (em grao) cru;160.14;3.32;7.18;25.11;3.15;0.45;35;6.2;244.96;Liberado;0
Milho, amido, cru;361.37;0.6;0;87.15;1.06;0.13;0;0;8.08;Liberado;0
Milho, fuba, cru;353.48;7.21;1.9;78.87;2.67;0.85;0;0;0;Liberado;0
Milho, pipoca, graos cru;355;10.1;3.48;76.4;7.1;2.62;15.8;0;33.8;Liberado;0
Milho, verde, cru;138.17;6.59;0.61;28.56;1.61;0.41;41;0;1.12;Liberado;0
Milho, verde, enlatado, drenado;97.56;3.23;2.35;17.14;2.17;0.59;46;1.74;260.35;Limitado;1
Mingau tradicional, po;373.42;0.58;0.37;89.34;522.05;41.99;1533.24;0;14.86;Proibido;3
Mini pizza semi pronta (crua);252.49;10.17;8.22;33.73;166.42;2.22;27.21;1.93;444.42;Liberado;0
Moela de galinha ou frango;31.47;1.61;1.06;3.64;17;3.19;0;0;56;Liberado;0
Molho, mostarda;61;3.74;3.74;5.83;63;1.61;0;0.3;1104;Proibido;3
Molho, p/ salada, c/ salsa, suco de limao, azeite de oliva, c/ sal;328;1.6;33.2;6.33;95.1;1.63;414;35.1;528;Liberado;0
Molho, p/ salada, c/ salsa, vinagre de maca, azeite de oliva, c/ sal;320;1.29;33.1;4.66;80.6;1.64;412;22.5;529;Liberado;0
Molho, soja, shoyu;283;22.5;8.5;29.5;14.6;0.5;0;0;5025;Proibido;3
Morango, cru;30.15;0.89;0.31;6.82;10.9;0.32;3;63.6;0;Liberado;0
Morango, suco natural (nectar), c/ acucar refinado ;35;0.43;0.2;8.22;7.85;0.15;4.47;34.9;6.1;proibido para menores 3 anos;2
Morango, suco natural (nectar), s/ acucar ;17;0.46;0.22;3.58;8.41;0.16;4.89;38.2;6.01;Liberado;0
Mortadela;268.82;11.95;21.65;5.82;66.55;1.47;24.55;0;1212;proibido para menores 3 anos;2
Mostarda, folha, crua;18.11;2.11;0.17;3.24;68.18;1.1;907;38.55;2.88;Liberado;0
Nabo, cru;18.19;1.2;0.05;4.15;42.39;0.22;0;9.55;2.46;Liberado;0
Nata;195;2.7;19.31;3.66;96;0.04;178;0.8;40;Liberado;0
Nectarina;44;1.06;0.32;10.55;6;0.28;73.6;5.4;0;Liberado;0
Nespera, crua;42.54;0.31;0;11.53;19.69;0.15;0;3.16;0;Liberado;0
Noz, crua;620.06;13.97;59.36;18.36;105.31;2.04;12.4;0;5;Liberado;0
Nuggets de frango;273.02;16.24;15.63;15.91;9.85;1.36;4.22;0;704.38;proibido para menores 3 anos;2
oleo, algodao, Gossypium ssp;900;0;100;0;0;0;0;0;0;Liberado;0
oleo, de babacu;884;0;100;0;0;0;0;0;0;Liberado;0
oleo, de canola;884;0;100;0;0;0;0;0;0;Liberado;0
oleo, de girassol;884;0;100;0;0;0;0;0;0;Liberado;0
oleo, de milho;884;0;100;0;0;0;0;0;0;Liberado;0
oleo, de pequi;884;0;100;0;0;0;0;0;0;Liberado;0
oleo, de soja;884;0;100;0;0;0;0;0;0;Liberado;0
Oregano;306;11;10.25;64.43;1576;44;345.17;50;15;Liberado;0
Ovo, de codorna, inteiro, cru;176.89;13.69;12.68;0.77;78.73;3.35;305.17;0;129;Liberado;0
Ovo, de galinha, inteiro, cru;143.11;13.03;8.9;1.64;42.02;1.56;78.83;0;168;Liberado;0
Ovo, galinha, clara, desidratada, pasteurizada;346;78;0.35;7.66;38.9;0.49;0;0;1125;Liberado;0
Ovo, galinha, gema, desidratada, pasteurizada;638;30;54;8;287;9.47;436;0;148;Liberado;0
Ovo, galinha, integral, desidratada, pasteurizada;554;44;38;9;166;6.16;0;0;661;Liberado;0
Pacoca, amendoim;486.93;16;26.08;52.38;22.48;1.13;2;0;167;proibido para menores 3 anos;2
Palma;41.95;1.35;3.1;3.28;164;0.5;0;5.3;20;Liberado;0
Palmito in natura cru ;28;2.52;0.62;4.62;58;3.13;0;7.9;426;Liberado;0
Palmito, jucara, em conserva;23.2;1.79;0.4;4.33;58.29;0.3;0;1.98;513.82;Limitado;1
Palmito, pupunha, em conserva;29.43;2.46;0.45;5.51;32.44;0.18;0;8.66;562.69;Limitado;1
Pamonha;171;2.6;4.8;30.7;4;0.4;0;0;132;Liberado;0
Pamonha, barra para cozimento, pre-cozida;171;2.6;4.8;30.7;4;0.4;0;0;132;Liberado;0
Pao de hamburguer ;279;9.5;4.33;49.45;138;3.32;0;0;479;proibido para menores 3 anos;2
Pao de queijo pronto para o consumo;363;5.1;24.6;34.2;102;0.3;61;0;773;Limitado;1
Pao doce;355.23;5.15;13.08;55.83;32.49;2.09;95.85;0.05;207.79;proibido para menores 3 anos;2
Pao, aveia, forma;343.09;12.35;5.69;59.57;108.69;4.73;0;0;605.76;proibido para menores 3 anos;2
Pao, de queijo, assado;363;5.1;24.6;34.2;102;0.3;0;0;773;Limitado;1
Pao, de soja;308.73;11.34;3.58;56.51;90.24;3.33;0;0;662.54;Limitado;1
Pao, gluten, forma;252.99;11.95;2.73;44.12;155.72;5.71;0;0;22.05;proibido para menores 3 anos;2
Pao, milho, forma;292.01;8.3;3.11;56.4;77.85;3.04;0;0;506.64;proibido para menores 3 anos;2
Pao, trigo, forma, integral;253.19;9.43;3.65;49.94;131.76;2.99;0;0;506.1;proibido para menores 3 anos;2
Pao, trigo, frances;299.81;7.95;3.1;58.65;15.75;1;2.99;0;647.67;Limitado;1
Pao, trigo, sovado;310.96;8.4;2.84;61.45;51.62;2.27;0;0;430.79;Limitado;1
Pao, trigo/centeio, preto, forma;250;10.1;2.71;49.1;130;2.93;0;0;497;proibido para menores 3 anos;2
Pastel (queijo, carne, palmito, etc.);319.81;10.38;15.68;33.51;18.34;2.48;19.18;1.19;413.2;proibido para menores 3 anos;2
Pastel, massa crua;310;6.9;5.5;57.4;13;1.1;0;0;1344;proibido para menores 3 anos;2
Pate (figado, calabresa, frango, presunto, etc.);326;14.1;28.5;2.2;26;6.4;8300;0;860;proibido para menores 3 anos;2
Pe-de-moleque, amendoim;503.19;13.16;28.05;54.73;27.11;1.26;0;0;16;proibido para menores 3 anos;2
Peixe, agua doce, tilapia, file, cru, Oreochromis niloticus;94;18.2;2.31;0.01;10;0.56;0;0;52;Liberado;0
Peixe, agua salgada, sardinha, conserva, c/ molho de tomate ;140;18.8;7.12;0.05;450;3.6;0;0;163;proibido para menores 3 anos;2
Pepino, cru;9.53;0.87;0;2.04;9.62;0.15;4;4.99;0;Liberado;0
Pequi, cru;204.97;2.34;17.97;12.97;32.44;0.27;0;8.28;0;Liberado;0
Pera, Park, crua;60.59;0.24;0.23;16.07;8.71;0.32;0;2.36;0.98;Liberado;0
Pera, Williams, crua;53.31;0.57;0.11;14.02;8.28;0.09;0;2.83;0;Liberado;0
Peru, congelado, cru;93.72;18.08;1.83;0;9.88;0.87;0;0;711;Liberado;0
Pescada, branca, crua;110.88;16.26;4.59;0;15.74;0.16;3;0;76.17;Liberado;0
Pescada, file, cru;107.21;16.65;4;0;13.55;0.17;47.86;0;77.5;Liberado;0
Pescadinha, crua;76.41;15.48;1.14;0;331.6;0.55;0;0;120.34;Liberado;0
Pessego, Aurora, cru;36.33;0.83;0;9.32;3.23;0.22;0;3.25;0;Liberado;0
Pessego, enlatado, em calda;63.14;0.71;0;16.88;4.1;0.6;38;0;3.2;proibido para menores 3 anos;2
Pimenta em po;255;10.95;3.26;64.81;437;28.86;15;21;44;Liberado;0
Pimentao, amarelo, cru;27.93;1.22;0.44;5.96;9.61;0.41;33;201.36;0;Liberado;0
Pimentao, verde, cru;21.29;1.05;0.15;4.89;8.76;0.41;38;100.21;0;Liberado;0
Pimentao, vermelho, cru;23.28;1.04;0.15;5.47;6.37;0.33;68;158.21;0;Liberado;0
Pinha, crua;88.47;1.49;0.32;22.45;20.88;0.21;0;35.9;1.34;Liberado;0
Pinhao;174.35;2.98;0.75;43.92;15.77;0.76;3;27.69;0.86;Liberado;0
Pintado, assado;191.56;36.45;3.98;0;113.54;0.78;7;0;81;Liberado;0
Pintado, cru;91.08;18.56;1.31;0;12;0.22;0;0;43;Liberado;0
Pipoca doce ou salgada;468.15;6.59;23.28;62.51;8.66;1.37;17.42;0;505.54;proibido para menores 3 anos;2
Pirulito;394;0;0.2;98;3;0.3;0;0;38;Proibido;3
Pitanga, crua;41.42;0.93;0.17;10.24;17.88;0.4;164;24.87;1.7;Liberado;0
Pitanga, polpa, congelada;19.11;0.29;0.12;4.76;7.8;0.37;146;0;5.03;Liberado;0
Pitanga, polpa, congelada ;20;0.29;0.13;4.76;7.8;0.38;146;0;5.03;Liberado;0
Polenta, pre-cozida;103;2.3;0.3;23.3;1;0;0;0;442;Liberado;0
Polvilho, doce;351.23;0.43;0;86.77;27.41;0.51;0;0;1.58;Liberado;0
Porco, bisteca, crua;164.12;21.5;8.02;0;6.11;0.53;0;0;54;Liberado;0
Porco, bisteca, frita;311.17;33.75;18.52;0;69.15;0.82;10;0;63;Liberado;0
Porco, costela, crua;255.61;18;19.82;0;14.53;0.9;0;0;88;Liberado;0
Porco, lombo, cru;175.63;22.6;8.77;0;4.16;0.47;0;0;53;Liberado;0
Porco, orelha, salgada, crua;258.49;18.52;19.89;0;5.44;1.41;0;0;616;Limitado;1
Porco, pernil, cru;186.06;20.13;11.1;0;12.94;0.89;0;0;102;Liberado;0
Porco, rabo, salgado, cru;377.42;15.58;34.47;0;21.63;0.62;0;0;1158;Limitado;1
Porquinho, cru;93.02;20.49;0.61;0;25.88;0.39;4.65;0;67;Liberado;0
Presunto, com capa de gordura;127.85;14.37;6.77;1.4;12.48;0.68;0;0;1021;proibido para menores 3 anos;2
Presunto, sem capa de gordura;93.74;14.29;2.71;2.15;23.27;0.83;0;0;1039;proibido para menores 3 anos;2
Pudim, mistura p/, diet (media diferentes sabores);364;1.75;0.89;87.1;49.8;0.06;0;0;1794;Proibido;3
Pudim, po, mistura p/, (media diferentes sabores);385;2.65;1.02;91.9;5.01;0.09;0;0;637;Proibido;3
Queijo colonial;302;25.96;20.03;3.83;731;0.25;133;0;528;Liberado;0
Queijo de coalho;373;24.48;30.28;0.68;746;0.72;192;0;536;Liberado;0
Queijo ralado;431;38.46;28.61;4.06;1109;0.9;117;0;1529;Liberado;0
Queijo, minas, frescal;264.27;17.41;20.18;3.24;579.25;0.93;160.51;0;31;Liberado;0
Queijo, minas, meia cura;320.72;21.21;24.61;3.57;695.92;0.22;111.33;0;501;Liberado;0
Queijo, mozarela;329.87;22.65;25.18;3.05;875.04;0.31;109;0;581;Liberado;0
Queijo, parmesao;452.96;35.55;33.53;1.66;991.97;0.53;66.15;0;1844;Liberado;0
Queijo, pasteurizado;303.08;9.36;27.44;5.68;323.3;0.27;57.31;0;78;Liberado;0
Queijo, petit suisse, morango;121;5.8;2.8;18.5;731;0.1;273;0;412;proibido para menores 3 anos;2
Queijo, prato;359.88;22.66;29.11;1.88;939.99;0.28;122.67;0;580;Liberado;0
Queijo, requeijao, cremoso;256.58;9.63;23.44;2.43;259.47;0.12;194.59;0;558;Liberado;0
Queijo, ricota;139.73;12.6;8.11;3.79;253.24;0.14;52.85;0;283;Liberado;0
Quiabo, cru;29.94;1.92;0.3;6.37;112.16;0.37;0;5.6;0.89;Liberado;0
Quindim;411.35;4.74;24.43;46.3;37.18;1.38;110706;0;27;proibido para menores 3 anos;2
Quinoa, crua;354;14.2;6.07;64.2;47;4.57;0;0;5;Liberado;0
