Tabela de composicao em 100g de alimento;Energia (kcal);Proteina (g);Lipideos (g);Carboidratos (g);Calcio (mg);Ferro (mg);Retinol (mcg);Vitamina C (mg);Sodio  (mg);Restricao;Cod.
Arroz, tipo 1, cru;357.79;7.16;0.34;78.76;4.41;0.68;0;0;1.02;Liberado;0
Arroz, tipo 2, cru;358.12;7.24;0.28;78.88;4.83;0.6;0;0;0.57;Liberado;0
Aspargo, cru;22;2.2;0.12;3.88;24;2.14;58.3;5.6;2;Liberado;0
Atemoia, crua;96.97;0.97;0.3;25.33;22.77;0.16;0;10.15;0.79;Liberado;0
Atum, conserva em oleo;165.91;26.19;6;0;6.52;1.23;5;0;362.15;Limitado;1
Atum, fresco, cru;117.5;25.68;0.87;0;6.69;1.27;20;0;30.3;Liberado;0
Aveia, flocos, crua;393.82;13.92;8.5;66.64;47.89;4.45;0;1.35;4.63;Liberado;0
Azeite, de dende;884;0;100;0;0;0;0;0;0;Liberado;0
Azeite, de oliva, extra virgem;884;0;100;0;0;0;0;0;0;Liberado;0
Azeitona, preta, conserva;194.15;1.16;20.35;5.54;58.75;5.45;40.3;0;1567;Limitado;1
Azeitona, verde, conserva;136.94;0.95;14.22;4.1;45.64;0.18;30;0;1347;Limitado;1
Bacalhau, salgado, cru;135.89;29.04;1.32;0;156.97;0.85;0;0;13585.06;Liberado;0
Bacuri;105;1.9;2;22.8;20;2.2;30;33;2.2;Liberado;0
Banana, da terra, crua;128.02;1.43;0.24;33.67;4.15;0.29;239;15.75;0;Liberado;0
Banana, doce em barra;280.11;2.17;0.05;75.67;11.95;0.61;27;0;9.88;proibido para menores 3 anos;2
Banana, figo, crua;105.08;1.13;0.14;27.8;6.36;0.2;0;17.5;0;Liberado;0
Banana, maca, crua;86.81;1.75;0.06;22.34;3.22;0.2;6;10.47;0;Liberado;0
Banana, nanica, crua;91.53;1.4;0.12;23.85;3.42;0.35;14;5.86;0;Liberado;0
Banana, ouro, crua;112.37;1.48;0.21;29.34;3.19;0.34;50;7.56;0;Liberado;0
Banana, pacova, crua;77.91;1.23;0.08;20.31;5.49;0.37;0;0;0.94;Liberado;0
Banana, prata, crua;98.25;1.27;0.07;25.96;7.56;0.38;32;21.59;0;Liberado;0
Banha suina;902;0;100;0;0;0;0;0;0;Liberado;0
Barra de cereais;352.92;3.17;8.55;69.44;540.54;4.86;607.36;0.1;284.16;Proibido;3
Barra de cereais doce;352.92;3.17;8.55;69.44;540.54;4.86;607.36;0.1;284.16;Proibido;3
Barra de cereais salgada;352.92;3.17;8.55;69.44;540.54;4.86;607.36;0.1;284.16;Proibido;3
